feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec
no_history,0.0003,2048,"(128, 128)",0.1,0.5,256,1,6178.7656,88.9545551542971,99.7854032079922
no_history,0.0003,2048,"(128, 128)",0.1,0.5,256,2,5264.297,92.73259481033418,99.81783341703704
no_history,0.0003,2048,"(256, 256)",0.2,0.2,512,0,5814.4624,134.7714114563191,99.89472229103558
no_history,0.0003,2048,"(256, 256)",0.2,0.2,512,1,7351.866,129.24133672256164,100.06358174997149
no_history,0.0003,2048,"(256, 256)",0.2,0.2,512,2,5877.388,133.20751920582933,99.6244167079567
no_history,0.0003,2048,"(256, 256)",0.2,0.2,256,0,6658.343,66.2713762661997,99.90716425003484
no_history,0.0003,2048,"(256, 256)",0.2,0.2,256,1,6530.065,66.0879870757569,99.91760137496749
no_history,0.0003,2048,"(256, 256)",0.2,0.2,256,2,6305.186,66.61029512721541,99.86280458298279
no_history,0.0003,2048,"(256, 256)",0.2,0.5,512,0,8204.221,187.0532300672844,99.87303225003416
no_history,0.0003,2048,"(256, 256)",0.2,0.5,512,1,7487.177,184.5854446438869,99.9628558330005
no_history,0.0003,2048,"(256, 256)",0.2,0.5,512,2,4794.073,183.73922644792546,99.90618074999657
no_history,0.0003,2048,"(256, 256)",0.2,0.5,256,0,5117.9556,96.02635907951641,100.06345250003505
no_history,0.0003,2048,"(256, 256)",0.2,0.5,256,1,7282.7783,90.97694156793504,99.86395662499126
no_history,0.0003,2048,"(256, 256)",0.2,0.5,256,2,7300.475,92.43673916243276,99.86163724999642
no_history,0.0003,2048,"(256, 256)",0.1,0.2,512,0,6071.507,132.24753188181552,99.87455320794834
no_history,0.0003,2048,"(256, 256)",0.1,0.2,512,1,6602.7173,127.78696247968374,100.30580499995267
no_history,0.0003,2048,"(256, 256)",0.1,0.2,512,2,5172.6978,130.2526983013835,99.85275100002764
no_history,0.0003,2048,"(256, 256)",0.1,0.2,256,0,6060.1807,63.37385482993748,99.78393579099793
no_history,0.0003,2048,"(256, 256)",0.1,0.2,256,1,7072.096,63.23651805931924,100.02854387502884
no_history,0.0003,2048,"(256, 256)",0.1,0.2,256,2,5532.387,62.44449071464828,99.81879429199034
no_history,0.0003,2048,"(256, 256)",0.1,0.5,512,0,5933.7188,181.67402320965758,99.76372945902403
no_history,0.0003,2048,"(256, 256)",0.1,0.5,512,1,6094.208,183.8497881613057,99.93830487498781
no_history,0.0003,2048,"(256, 256)",0.1,0.5,512,2,4996.178,179.7578535407355,99.97495829197578
no_history,0.0003,2048,"(256, 256)",0.1,0.5,256,0,5505.0845,92.25521711191057,99.88454400002956
no_history,0.0003,2048,"(256, 256)",0.1,0.5,256,1,6356.8584,90.89511643282826,100.06175745802466
no_history,0.0003,2048,"(256, 256)",0.1,0.5,256,2,5474.32,88.99260771911656,99.86348012503004
no_history,0.0001,1024,"(128, 128)",0.2,0.2,512,0,7504.7036,131.45207941724007,105.6284827919444
no_history,0.0001,1024,"(128, 128)",0.2,0.2,512,1,6913.0903,131.18616247835178,105.72966441704193
no_history,0.0001,1024,"(128, 128)",0.2,0.2,512,2,6257.854,133.8839495729285,105.5748855000129
no_history,0.0001,1024,"(128, 128)",0.2,0.2,256,0,5395.767,65.61221620176073,105.3828622919973
no_history,0.0001,1024,"(128, 128)",0.2,0.2,256,1,7442.27,63.97900544722222,105.37499004194979
no_history,0.0001,1024,"(128, 128)",0.2,0.2,256,2,7415.1104,69.11699466887255,105.28470004198607
no_history,0.0001,1024,"(128, 128)",0.2,0.5,512,0,5249.7026,188.9257454383848,105.48473645799095
no_history,0.0001,1024,"(128, 128)",0.2,0.5,512,1,7866.4033,187.21255263314555,105.87368708301801
no_history,0.0001,1024,"(128, 128)",0.2,0.5,512,2,4255.4814,190.0597078743318,105.4513769170153
no_history,0.0001,1024,"(128, 128)",0.2,0.5,256,0,6699.866,93.98672004058105,105.56272979197092
no_history,0.0001,1024,"(128, 128)",0.2,0.5,256,1,7421.728,93.44543168613708,105.66250583401415
no_history,0.0001,1024,"(128, 128)",0.2,0.5,256,2,5358.0864,94.32271804492515,105.63998133299174
no_history,0.0001,1024,"(128, 128)",0.1,0.2,512,0,5930.4297,130.03918210138818,105.49676558398642
no_history,0.0001,1024,"(128, 128)",0.1,0.2,512,1,6938.5283,127.38492904196315,105.82936591596808
no_history,0.0001,1024,"(128, 128)",0.1,0.2,512,2,6026.8247,128.40450911619644,105.38395524997031
no_history,0.0001,1024,"(128, 128)",0.1,0.2,256,0,5870.879,65.9537075461953,105.68566462496528
no_history,0.0001,1024,"(128, 128)",0.1,0.2,256,1,7579.1577,63.018952273190976,105.77296704100445
no_history,0.0001,1024,"(128, 128)",0.1,0.2,256,2,6141.62,67.08890459935786,105.6529464579653
no_history,0.0001,1024,"(128, 128)",0.1,0.5,512,0,5494.3926,185.91383388403378,105.50683333404595
no_history,0.0001,1024,"(128, 128)",0.1,0.5,512,1,6382.661,187.22181074330936,105.62838616600493
no_history,0.0001,1024,"(128, 128)",0.1,0.5,512,2,5368.2876,182.22053975106,105.55157920898637
no_history,0.0001,1024,"(128, 128)",0.1,0.5,256,0,6797.184,92.26730574940362,105.51895458297804
no_history,0.0001,1024,"(128, 128)",0.1,0.5,256,1,5856.073,87.89435017959644,105.27849249995779
no_history,0.0001,1024,"(128, 128)",0.1,0.5,256,2,5596.1333,90.71895434148591,105.68330466700718
no_history,0.0001,1024,"(256, 256)",0.2,0.2,512,0,4060.894,136.62241657656767,106.1728530410328
no_history,0.0001,1024,"(256, 256)",0.2,0.2,512,1,6080.2046,130.85135503380874,105.54132645897334
no_history,0.0001,1024,"(256, 256)",0.2,0.2,512,2,8077.996,134.44128055066588,105.44059220899362
no_history,0.0001,1024,"(256, 256)",0.2,0.2,256,0,6947.8975,68.57944239389822,105.79546254198067
no_history,0.0001,1024,"(256, 256)",0.2,0.2,256,1,7062.976,61.68338339827652,105.60660458303755
no_history,0.0001,1024,"(256, 256)",0.2,0.2,256,2,4592.5503,66.77890046798355,105.7292137920158
no_history,0.0001,1024,"(256, 256)",0.2,0.5,512,0,5252.8906,190.00886058178682,105.7420943339821
no_history,0.0001,1024,"(256, 256)",0.2,0.5,512,1,7949.3604,187.88798097495206,105.44145837501856
no_history,0.0001,1024,"(256, 256)",0.2,0.5,512,2,7782.1567,191.6677627616479,105.51668800000334
no_history,0.0001,1024,"(256, 256)",0.2,0.5,256,0,4867.9004,92.06232147333061,105.85022333299275
no_history,0.0001,1024,"(256, 256)",0.2,0.5,256,1,7208.743,94.18962296930331,105.5965454170364
no_history,0.0001,1024,"(256, 256)",0.2,0.5,256,2,8106.9614,98.64278291953892,105.70825579197844
no_history,0.0001,1024,"(256, 256)",0.1,0.2,512,0,6386.9775,130.93005990221903,105.67470633401535
no_history,0.0001,1024,"(256, 256)",0.1,0.2,512,1,6596.498,131.06757510662277,105.71707441698527
no_history,0.0001,1024,"(256, 256)",0.1,0.2,512,2,6729.339,129.29877072192906,105.40824362501735
no_history,0.0001,1024,"(256, 256)",0.1,0.2,256,0,5836.313,64.83369813812433,105.74998999998206
no_history,0.0001,1024,"(256, 256)",0.1,0.2,256,1,6982.833,65.1975171459582,105.62980724999215
no_history,0.0001,1024,"(256, 256)",0.1,0.2,256,2,5586.37,66.62595438110225,105.5398560410249
no_history,0.0001,1024,"(256, 256)",0.1,0.5,512,0,5378.646,181.03312928400496,105.785032166983
no_history,0.0001,1024,"(256, 256)",0.1,0.5,512,1,5958.878,187.93664614457526,105.63920912501635
no_history,0.0001,1024,"(256, 256)",0.1,0.5,512,2,5919.747,186.7266122188903,105.65243579202797
no_history,0.0001,1024,"(256, 256)",0.1,0.5,256,0,5805.672,95.39392844033617,105.64009424997494
no_history,0.0001,1024,"(256, 256)",0.1,0.5,256,1,6509.0083,92.39219704966956,105.49524383299286
no_history,0.0001,1024,"(256, 256)",0.1,0.5,256,2,5414.304,90.57029799391076,105.84069483401254
no_history,0.0001,2048,"(128, 128)",0.2,0.2,512,0,5919.915,129.11978593401068,99.9941430829931
no_history,0.0001,2048,"(128, 128)",0.2,0.2,512,1,6113.5967,130.020169451308,99.67588724999223
no_history,0.0001,2048,"(128, 128)",0.2,0.2,512,2,6005.584,127.20413636916821,99.98374637501547
no_history,0.0001,2048,"(128, 128)",0.2,0.2,256,0,5840.039,65.86324032870797,99.81896841601701
no_history,0.0001,2048,"(128, 128)",0.2,0.2,256,1,6438.779,65.56295666135523,99.73920658300631
no_history,0.0001,2048,"(128, 128)",0.2,0.2,256,2,5955.0864,64.88914603860746,100.01936783298152
no_history,0.0001,2048,"(128, 128)",0.2,0.5,512,0,5625.011,183.6487714592676,99.9716187089798
no_history,0.0001,2048,"(128, 128)",0.2,0.5,512,1,6778.4473,182.35079924202455,100.08605770900613
no_history,0.0001,2048,"(128, 128)",0.2,0.5,512,2,4881.098,188.6043595748066,99.88527454098221
no_history,0.0001,2048,"(128, 128)",0.2,0.5,256,0,6178.4077,93.31236713444764,99.82970266701886
no_history,0.0001,2048,"(128, 128)",0.2,0.5,256,1,6429.635,90.13728146265832,99.87311329203658
no_history,0.0001,2048,"(128, 128)",0.2,0.5,256,2,4783.1973,95.53424110244552,100.6076627090224
no_history,0.0001,2048,"(128, 128)",0.1,0.2,512,0,5728.574,132.21639739060691,99.85815908299992
no_history,0.0001,2048,"(128, 128)",0.1,0.2,512,1,6883.7085,128.1764085887716,99.7292641249951
no_history,0.0001,2048,"(128, 128)",0.1,0.2,512,2,6047.5923,119.13416921687997,99.9625996669638
no_history,0.0001,2048,"(128, 128)",0.1,0.2,256,0,5888.083,67.15712467011758,100.1621834160178
no_history,0.0001,2048,"(128, 128)",0.1,0.2,256,1,6311.941,64.41451536347978,99.91836324997712
no_history,0.0001,2048,"(128, 128)",0.1,0.2,256,2,5291.4897,61.680528029727796,99.87351320800371
no_history,0.0001,2048,"(128, 128)",0.1,0.5,512,0,5677.292,183.54140475292195,99.86212866700953
no_history,0.0001,2048,"(128, 128)",0.1,0.5,512,1,6821.383,183.43525451748832,99.73551270901226
no_history,0.0001,2048,"(128, 128)",0.1,0.5,512,2,5957.549,180.60289633811615,99.90600095799891
no_history,0.0001,2048,"(128, 128)",0.1,0.5,256,0,5543.2275,88.19810231698456,99.87473233300261
no_history,0.0001,2048,"(128, 128)",0.1,0.5,256,1,6167.598,91.4416984770884,99.73941620800178
no_history,0.0001,2048,"(128, 128)",0.1,0.5,256,2,5757.685,91.44523337845857,99.75347854197025
no_history,0.0001,2048,"(256, 256)",0.2,0.2,512,0,5810.9966,132.45055017009832,99.77071437501581
no_history,0.0001,2048,"(256, 256)",0.2,0.2,512,1,5573.214,129.74808177101414,99.73883083299734
no_history,0.0001,2048,"(256, 256)",0.2,0.2,512,2,5854.8403,132.2586638220808,99.76301529101329
no_history,0.0001,2048,"(256, 256)",0.2,0.2,256,0,5932.1206,66.04626238592432,99.94216975005111
no_history,0.0001,2048,"(256, 256)",0.2,0.2,256,1,7004.018,64.18881672975402,99.9164909159881
no_history,0.0001,2048,"(256, 256)",0.2,0.2,256,2,4992.0293,65.1677014339778,99.86328545800643
no_history,0.0001,2048,"(256, 256)",0.2,0.5,512,0,5265.6665,193.04714179886108,99.91741041600471
no_history,0.0001,2048,"(256, 256)",0.2,0.5,512,1,6140.9395,187.1934134141687,99.86302612500731
no_history,0.0001,2048,"(256, 256)",0.2,0.5,512,2,4973.8545,186.53747161087827,99.92885341699002
no_history,0.0001,2048,"(256, 256)",0.2,0.5,256,0,4598.9834,95.62967926018496,99.85186666698428
no_history,0.0001,2048,"(256, 256)",0.2,0.5,256,1,6465.45,93.47856264788518,99.86269812501268
no_history,0.0001,2048,"(256, 256)",0.2,0.5,256,2,4738.531,94.50210778200658,99.92904766701395
no_history,0.0001,2048,"(256, 256)",0.1,0.2,512,0,5635.324,134.16411695330908,99.83992533397395
no_history,0.0001,2048,"(256, 256)",0.1,0.2,512,1,6289.7896,125.20820219419288,99.90634683298413
no_history,0.0001,2048,"(256, 256)",0.1,0.2,512,2,5328.9854,128.96827293615473,99.77494370797649
no_history,0.0001,2048,"(256, 256)",0.1,0.2,256,0,5795.3022,64.51067707381715,99.86228558397852
no_history,0.0001,2048,"(256, 256)",0.1,0.2,256,1,6945.406,61.71892305361446,99.92895370902261
no_history,0.0001,2048,"(256, 256)",0.1,0.2,256,2,5695.8574,63.219453490147636,99.62954291701317
no_history,0.0001,2048,"(256, 256)",0.1,0.5,512,0,5277.3823,182.01334500610375,99.82853825000348
no_history,0.0001,2048,"(256, 256)",0.1,0.5,512,1,6549.2183,181.46246859686426,99.74153333297
no_history,0.0001,2048,"(256, 256)",0.1,0.5,512,2,5967.9976,180.89418216028974,99.98362420802005
no_history,0.0001,2048,"(256, 256)",0.1,0.5,256,0,5576.9946,89.09226115236302,99.91619154100772
no_history,0.0001,2048,"(256, 256)",0.1,0.5,256,1,6886.2295,90.17139006250838,99.94190191698726
no_history,0.0001,2048,"(256, 256)",0.1,0.5,256,2,5184.0483,92.97608006222086,100.29580274998443
