feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,seed,val_mse,final_reward,train_time_sec
full,0.0003,2048,"(128, 128)",0.2,0.2,256,2,5482.675,68.68128828984035,81.21547858294798
full,0.0003,2048,"(128, 128)",0.2,0.5,512,0,6970.6675,186.73212008649324,81.21263454202563
full,0.0003,2048,"(128, 128)",0.2,0.5,512,1,5679.1133,184.38416952836832,81.20871041703504
full,0.0003,2048,"(128, 128)",0.2,0.5,512,2,5714.839,188.0276118922693,81.12894791696453
full,0.0003,2048,"(128, 128)",0.2,0.5,256,0,6049.756,92.22835609813207,81.1530369159882
full,0.0003,2048,"(128, 128)",0.2,0.5,256,1,7470.661,97.71966049721057,81.21697379194666
full,0.0003,2048,"(128, 128)",0.2,0.5,256,2,5558.412,94.59737896592223,81.31599429098424
full,0.0003,2048,"(128, 128)",0.1,0.2,512,0,5669.644,133.33047982331146,81.29789041698677
full,0.0003,2048,"(128, 128)",0.1,0.2,512,1,6178.6846,133.5514891235593,81.33072720799828
full,0.0003,2048,"(128, 128)",0.1,0.2,512,2,5487.2075,125.49013376833823,82.01886004197877
full,0.0003,2048,"(128, 128)",0.1,0.2,256,0,5628.9487,65.90276069091946,83.73873716703383
full,0.0003,2048,"(128, 128)",0.1,0.2,256,1,6596.9995,64.7473283132024,84.11248829204123
full,0.0003,2048,"(128, 128)",0.1,0.2,256,2,6135.3896,64.84034268577014,81.15042733302107
full,0.0003,2048,"(128, 128)",0.1,0.5,512,0,5454.277,183.46927670263372,81.38094399997499
full,0.0003,2048,"(128, 128)",0.1,0.5,512,1,6176.437,183.97023583888677,82.24522612500004
full,0.0003,2048,"(128, 128)",0.1,0.5,512,2,5877.6816,178.59836439127355,81.37137300003087
full,0.0003,2048,"(128, 128)",0.1,0.5,256,0,5738.3184,90.8214179528957,81.31571125000482
full,0.0003,2048,"(128, 128)",0.1,0.5,256,1,6622.851,89.94840533761,82.6629618749721
full,0.0003,2048,"(128, 128)",0.1,0.5,256,2,5455.4893,90.77185876346968,97.69754149997607
