feature_variant,lr,rollout_len,hidden_sizes,clip_coef,reward_temperature,max_episode_steps,val_mse_mean,val_mse_std,final_reward_mean,final_reward_std,train_time_mean,train_time_std
full,0.0003,1024,"(128, 128)",0.2,0.2,512,7010.4136,329.61435,140.34909288576048,2.7796939116736907,104.1055050973664,0.522198585345903
full,0.0003,1024,"(128, 128)",0.2,0.2,256,5670.631,1267.1268,66.29904236938847,1.7168770917866525,102.07118252800622,1.402544070992554
full,0.0003,1024,"(128, 128)",0.2,0.5,512,6505.564,973.0185,194.7134798822283,3.2848627777985513,100.65675068035489,0.3234602406403686
full,0.0003,1024,"(128, 128)",0.2,0.5,256,5753.2163,2353.634,94.69560759497733,2.1515840274823437,101.26867511067151,0.37968076699822983
full,0.0003,1024,"(128, 128)",0.1,0.2,512,6269.9883,275.65018,133.52223535195006,0.9584942883399088,104.10722495799807,0.12650422704103856
full,0.0003,1024,"(128, 128)",0.1,0.2,256,5612.0938,373.51865,67.23822916149773,1.1509646529545072,104.25929002799482,0.06219519043488273
full,0.0003,1024,"(128, 128)",0.1,0.5,512,5389.0806,191.3699,189.7754527505292,1.5077278511890382,104.26240187501146,0.032485243239132815
full,0.0003,1024,"(128, 128)",0.1,0.5,256,5862.5757,969.4865,91.96750502323476,1.2916201599954045,104.2073024866598,0.009094615279394811
full,0.0003,1024,"(256, 256)",0.2,0.2,512,6334.7944,1527.1229,136.57261075405083,1.627224525565904,104.23829873631864,0.06894445381559185
full,0.0003,1024,"(256, 256)",0.2,0.2,256,6906.01,56.70929,67.99292617402196,1.7209440579222612,104.22978168033296,0.047780937585638145
full,0.0003,1024,"(256, 256)",0.2,0.5,512,7133.5547,1123.6677,190.4137067341815,1.3674100672310596,104.23654372200447,0.0373637407450689
full,0.0003,1024,"(256, 256)",0.2,0.5,256,5032.6094,676.5399,94.76517305790873,1.240561467297016,104.28492138899553,0.04513778184681658
full,0.0003,1024,"(256, 256)",0.1,0.2,512,5693.7446,1243.7454,135.6709493629526,1.8539698215376248,104.26599647201753,0.06697287954806153
full,0.0003,1024,"(256, 256)",0.1,0.2,256,5420.424,562.65607,65.48828672312113,1.2571272697758191,104.78519238863373,0.5275171597031436
full,0.0003,1024,"(256, 256)",0.1,0.5,512,6383.0645,276.67075,183.93575666793618,2.771742634922696,106.12889524997445,0.14619338444927216
full,0.0003,1024,"(256, 256)",0.1,0.5,256,5708.813,452.0009,91.97690697321268,2.6475987521073208,91.79735045833513,2.8963421948700514
full,0.0003,2048,"(128, 128)",0.2,0.2,512,5433.0156,561.06866,133.2972050328034,1.3853647462282888,81.16546951364337,0.05457751311254502
full,0.0003,2048,"(128, 128)",0.2,0.2,256,6363.0796,1021.1789,68.96981617956071,1.4955050799235152,81.14792427765981,0.11381335578429726
full,0.0003,2048,"(128, 128)",0.2,0.5,512,6121.5405,600.60095,186.38130050237694,1.5079729993641016,81.18343095867506,0.03855862259606806
full,0.0003,2048,"(128, 128)",0.2,0.5,256,6359.6094,810.8354,94.84846518708828,2.248835138270376,81.22866833297303,0.06703903456824307
full,0.0003,2048,"(128, 128)",0.1,0.2,512,5778.5117,292.60248,130.79070090506966,3.7491528159436207,81.54915922232128,0.33239906608490444
full,0.0003,2048,"(128, 128)",0.1,0.2,256,6120.446,395.3463,65.163477229964,0.5241297200170696,83.00055093069871,1.3171030004961193
full,0.0003,2048,"(128, 128)",0.1,0.5,512,5836.1313,296.28098,182.01262564426466,2.4228942667542976,81.6658477083353,0.40970104001388713
full,0.0003,2048,"(128, 128)",0.1,0.5,256,5938.8867,497.22833,90.51389401799179,0.400372421664379,87.22540487498433,7.425317285296689
full,0.0003,2048,"(256, 256)",0.2,0.2,512,6468.7603,379.16742,134.6735982976573,4.2014444364963195,97.63426587501696,0.027023038994599475
full,0.0003,2048,"(256, 256)",0.2,0.2,256,6128.9917,441.92145,67.68554094947017,1.6642255538773993,97.71865276433527,0.032846067148217285
full,0.0003,2048,"(256, 256)",0.2,0.5,512,6567.1587,941.8252,186.87349025760855,1.2009045791234532,97.58602165300788,0.09383521682546635
full,0.0003,2048,"(256, 256)",0.2,0.5,256,5317.723,524.3709,91.83489653929831,0.837877828264545,99.66018247198856,0.6939267281401394
full,0.0003,2048,"(256, 256)",0.1,0.2,512,5440.3315,313.63687,130.93428355151812,0.7837420939714466,100.07327174967698,0.028300072236460645
full,0.0003,2048,"(256, 256)",0.1,0.2,256,5944.442,490.56146,64.6113578846694,1.3300871898991347,100.07356823631562,0.06554287595259738
full,0.0003,2048,"(256, 256)",0.1,0.5,512,5713.2427,395.99295,186.05275336815325,2.5812392721703237,100.0921919446749,0.03382854315701285
full,0.0003,2048,"(256, 256)",0.1,0.5,256,6419.9585,309.83145,91.14389705847024,0.4417733452781402,100.14018293066572,0.0322169265503347
full,0.0001,1024,"(128, 128)",0.2,0.2,512,5106.3696,712.7964,135.09835894852947,1.8107683664821768,105.7329433746442,0.1905529440506541
full,0.0001,1024,"(128, 128)",0.2,0.2,256,6265.461,683.71326,66.52806488765962,1.3081742093686537,105.77793498599203,0.07543166094203997
full,0.0001,1024,"(128, 128)",0.2,0.5,512,5953.5845,424.56445,189.7182217925665,1.9450128408589518,105.94711333332816,0.04838556787245667
full,0.0001,1024,"(128, 128)",0.2,0.5,256,7201.879,543.69965,92.28351958270382,1.7483801054352344,105.8627397226519,0.0014841023578068052
full,0.0001,1024,"(128, 128)",0.1,0.2,512,5644.078,578.2904,130.86742638771224,0.5916152887234805,105.81350826400255,0.08348129880624429
full,0.0001,1024,"(128, 128)",0.1,0.2,256,5839.31,171.14793,62.65716325008291,0.32786839585408234,105.91586895799264,0.029367933842171873
full,0.0001,1024,"(128, 128)",0.1,0.5,512,5827.271,188.51651,187.5356342101014,2.5897804128153625,104.30247348601308,1.276731554356983
full,0.0001,1024,"(128, 128)",0.1,0.5,256,5783.465,693.94293,90.71910984276947,2.2669679740427426,105.06572074999956,0.5460568337216056
full,0.0001,1024,"(256, 256)",0.2,0.2,512,4971.154,755.99866,131.62244987105856,1.7599332040441271,105.46250705531565,0.15790471571310885
full,0.0001,1024,"(256, 256)",0.2,0.2,256,5817.16,959.3998,65.85317037899244,1.1871550645186995,105.37727381966154,0.10817472197710964
full,0.0001,1024,"(256, 256)",0.2,0.5,512,6708.8496,689.8753,187.89089770105195,2.5469404201579082,103.83408956930118,1.143996829974475
full,0.0001,1024,"(256, 256)",0.2,0.5,256,5898.8354,542.8224,93.40192848485748,2.5340247957699154,102.94131265266333,0.053317890164138494
full,0.0001,1024,"(256, 256)",0.1,0.2,512,5327.379,451.4353,132.6461257936663,2.013435295437383,102.3685354583431,0.06957951281114205
full,0.0001,1024,"(256, 256)",0.1,0.2,256,5520.6406,536.5869,65.50958667483239,0.26344983504261604,102.62044280567595,0.31498640626603663
full,0.0001,1024,"(256, 256)",0.1,0.5,512,6495.315,391.35376,186.60663265750534,3.3061343237475453,104.31520762500197,1.5517674511908521
full,0.0001,1024,"(256, 256)",0.1,0.5,256,5738.551,802.7427,90.55794584447155,2.567098577762034,105.53681562503334,0.1159686422531483
full,0.0001,2048,"(128, 128)",0.2,0.2,512,5821.8364,266.49777,130.20449367287333,1.4436138612101903,99.69590261134242,0.20567908723458286
full,0.0001,2048,"(128, 128)",0.2,0.2,256,5821.133,541.07434,64.53519959160826,1.1517543161554518,99.66253258365516,0.11805399587878244
full,0.0001,2048,"(128, 128)",0.2,0.5,512,6991.715,700.6749,185.9608988108188,2.4181441127848924,99.08458575000986,0.38735883602035237
full,0.0001,2048,"(128, 128)",0.2,0.5,256,5591.8296,709.3864,93.23926872728346,1.2582430527434403,99.24386724967432,0.7016519319475795
full,0.0001,2048,"(128, 128)",0.1,0.2,512,5757.844,148.71533,127.01827495746147,1.0459591271474609,99.80660413900235,0.10547665582270921
full,0.0001,2048,"(128, 128)",0.1,0.2,256,5712.213,81.6883,65.23129614015075,2.278390817937121,99.87372761099444,0.14532417434777606
full,0.0001,2048,"(128, 128)",0.1,0.5,512,5838.141,476.93423,182.7017352857691,0.8663630500840177,99.7845164030053,0.12572433274706282
full,0.0001,2048,"(128, 128)",0.1,0.5,256,5917.9214,164.63698,89.656341126977,1.8249426626056102,99.83239848634305,0.1862895904393182
full,0.0001,2048,"(256, 256)",0.2,0.2,512,5593.9565,605.26184,130.28390104136437,2.899369625510021,99.63908823598952,0.11178649397638407
full,0.0001,2048,"(256, 256)",0.2,0.2,256,5768.0083,538.8511,65.09972236961107,0.46969256389767555,98.14657373635175,0.8919931143093597
full,0.0001,2048,"(256, 256)",0.2,0.5,512,6317.0083,515.92706,187.83304329018654,1.84656788096647,97.06474556898077,0.1855793177595816
full,0.0001,2048,"(256, 256)",0.2,0.5,256,5461.328,839.64026,91.6098263901885,1.4673588785457072,97.01764829200692,0.1451941897854191
full,0.0001,2048,"(256, 256)",0.1,0.2,512,6043.7837,261.46826,129.29344178179898,1.3699973108274783,97.32210019465613,0.49310297203681025
full,0.0001,2048,"(256, 256)",0.1,0.2,256,5801.472,142.60881,64.40521804045363,0.09782364107950858,98.85819076366413,1.3678340534705693
full,0.0001,2048,"(256, 256)",0.1,0.5,512,5807.933,35.021538,181.573031575389,2.6429174144545637,99.82427718032461,0.23133219281551032
full,0.0001,2048,"(256, 256)",0.1,0.5,256,5995.5337,352.3869,90.81631430862667,0.7222965727827532,99.6699734723273,0.06430364796672332
no_history,0.0003,1024,"(128, 128)",0.2,0.2,512,6230.3784,1318.7938,138.5949527429992,3.597550978072491,104.31309863868712,1.0508444848876193
no_history,0.0003,1024,"(128, 128)",0.2,0.2,256,5861.768,805.2178,69.17579726526544,2.3868332433216297,103.01832909701625,0.4282711814014746
no_history,0.0003,1024,"(128, 128)",0.2,0.5,512,6373.765,1592.961,189.73342899258273,1.4125898774684782,102.51300245831953,0.12446410807084689
no_history,0.0003,1024,"(128, 128)",0.2,0.5,256,5892.371,1635.8927,93.58980568411114,1.6099253886834248,102.58918991634467,0.14104929864518956
no_history,0.0003,1024,"(128, 128)",0.1,0.2,512,5821.5137,541.10077,133.96812711294135,0.894079525568325,104.63927091632893,1.229554327186161
no_history,0.0003,1024,"(128, 128)",0.1,0.2,256,6204.633,662.7539,65.36285135704807,1.9292904183526132,105.72889436100377,0.12651822020102374
no_history,0.0003,1024,"(128, 128)",0.1,0.5,512,5032.6353,525.1154,187.8535655743669,1.9947206783008824,105.61838251400816,0.09976851303525747
no_history,0.0003,1024,"(128, 128)",0.1,0.5,256,6318.2007,411.80826,94.49352349636104,1.498236476010353,105.72894524998264,0.08117227518649948
no_history,0.0003,1024,"(256, 256)",0.2,0.2,512,5761.1597,1080.3334,139.27696871621404,2.024207553734405,105.71148693062908,0.1651728934168914
no_history,0.0003,1024,"(256, 256)",0.2,0.2,256,6092.477,1768.7726,68.98946636895043,0.8903896105754561,105.72514629166108,0.12256581498763676
no_history,0.0003,1024,"(256, 256)",0.2,0.5,512,6916.095,2300.1003,193.32779640269564,1.0062229747238705,105.67151447199285,0.06987070932304935
no_history,0.0003,1024,"(256, 256)",0.2,0.5,256,7317.8657,1184.0842,96.65820679218781,1.6524496163478315,105.68857831965822,0.20196215631847225
no_history,0.0003,1024,"(256, 256)",0.1,0.2,512,5471.139,435.58243,130.08011882762776,2.8044222258490836,105.68165708364297,0.11692426963957761
no_history,0.0003,1024,"(256, 256)",0.1,0.2,256,5795.6836,120.2913,65.23287099573815,0.6316815812588532,105.68051261097814,0.16506938080631775
no_history,0.0003,1024,"(256, 256)",0.1,0.5,512,5681.39,727.6256,184.77036834826842,1.6292333864462085,105.64408816666885,0.11560504936691936
no_history,0.0003,1024,"(256, 256)",0.1,0.5,256,6677.562,988.21844,94.11314111878443,3.2682790467983405,105.69103145801152,0.251224843795215
no_history,0.0003,2048,"(128, 128)",0.2,0.2,512,6091.795,758.36273,134.1430231181093,3.6088103580536712,97.71530819468899,0.06465790805111259
no_history,0.0003,2048,"(128, 128)",0.2,0.2,256,5901.1,770.6277,66.87159978835469,1.9720214599708807,97.25720613903832,0.4353871535791453
no_history,0.0003,2048,"(128, 128)",0.2,0.5,512,5565.828,433.5192,186.1842049011108,0.6532296844130436,96.94946629198967,0.2327560199806601
no_history,0.0003,2048,"(128, 128)",0.2,0.5,256,6198.646,357.2346,90.79919500632586,2.1933964522220326,97.17286776367109,0.05512654325518925
no_history,0.0003,2048,"(128, 128)",0.1,0.2,512,6184.8257,683.5374,131.08791244221376,0.8458856698572054,99.65550401331468,0.30641176185233154
no_history,0.0003,2048,"(128, 128)",0.1,0.2,256,6157.932,222.09294,64.96081644049796,2.597135809995242,99.80296365299728,0.04092079398444991
no_history,0.0003,2048,"(128, 128)",0.1,0.5,512,5946.678,552.51373,185.59904433070145,1.2998874816557877,99.95136111101601,0.0668904280773615
no_history,0.0003,2048,"(128, 128)",0.1,0.5,256,5655.8633,384.7078,90.95488348534087,1.5503902001720624,99.90742115301934,0.15021241136309407
no_history,0.0003,2048,"(256, 256)",0.2,0.2,512,6347.906,710.372,132.40675579490338,2.3275664216006104,99.86090691632126,0.1808758196613838
no_history,0.0003,2048,"(256, 256)",0.2,0.2,256,6497.8647,145.96248,66.323219489724,0.21635960039348,99.89585673599504,0.023756641292823216
no_history,0.0003,2048,"(256, 256)",0.2,0.5,512,6828.49,1468.0321,185.12596705303224,1.405887229562948,99.91402294434374,0.03708723071680415
no_history,0.0003,2048,"(256, 256)",0.2,0.5,256,6567.07,1024.704,93.14667993662806,2.121660706257392,99.92968212500757,0.09459467850196597
no_history,0.0003,2048,"(256, 256)",0.1,0.2,512,5948.974,590.1975,130.09573088762758,1.8243992480712632,100.01103640264289,0.2086228311851148
