episode,reward
1,172.30738626356143
2,161.76186011570897
3,174.5795983793909
4,164.68668784277054
5,184.7457722948712
6,171.02134414047163
7,163.35806010071641
8,177.1472380137245
9,167.4418374249135
10,174.80361250204328
11,177.90425201685935
12,170.15811253214804
13,189.05503185556236
14,163.433614139596
15,188.8125387455317
16,192.60509062654353
17,188.62800173653372
18,184.75497414972784
19,189.98639991591747
20,180.05922967278818
21,185.32442333476573
22,172.42650971263507
23,178.20407033790605
24,195.39280622984015
25,188.89975771846804
26,189.29769660013972
27,186.6386450434521
28,187.23008199793418
29,192.13022394081335
30,187.89142434581404
31,190.84490186627357
32,200.90889008531502
33,198.18047865707294
34,175.5132132369978
35,183.79442321840244
36,182.90134481909251
37,176.46585095638247
38,175.47064384946927
39,196.27417786819237
40,194.30424655541964
41,189.51656438555722
42,186.60920330989916
43,195.04522770284902
44,193.604931260568
45,191.55689603043118
46,199.87408140605993
47,189.06767348986583
48,193.20223353366495
49,185.85036184367647
50,202.47948216699456
51,193.78485700397638
52,185.02054843248268
53,204.7135795164543
54,192.36565159099956
55,192.9335457919253
56,205.95954801227404
57,189.22086458596277
58,181.7841571831954
59,193.1500924196438
60,214.13348835551372
61,204.72005664899436
62,205.1899514832014
63,210.59023559672096
64,203.54611104414226
65,207.70728798830228
66,179.2006511116603
67,197.4624468932568
68,205.85033146309468
69,195.38187547036608
70,198.53581053367
71,203.4907666086317
72,205.01893670520204
73,193.8270731694773
74,205.59463017222004
75,188.58408383740488
76,201.9061723873772
77,199.32654122837286
78,185.43711567033813
79,172.60914758945145
80,203.52852816106426
81,191.62849068640034
82,198.5782398149947
83,187.59072968304707
84,194.97371384950287
85,192.9986512479469
86,194.21293667188075
87,218.3396769264277
88,196.82400088311294
89,201.49872495710963
90,202.4007965985876
91,180.32155250349865
92,204.72382810687608
93,215.23414809882246
94,187.16429543073883
95,197.3574676368672
96,202.30989787202074
