episode,reward
1,166.35716215966698
2,170.68805185652045
3,184.1359011904384
4,177.70199819739216
5,168.09672546466484
6,183.9597054700311
7,177.39977615028366
8,165.0112090200672
9,181.75999260184693
10,184.96754027770453
11,187.77422910776977
12,185.3158462598835
13,186.00603766797016
14,187.17485072100234
15,176.14412370250764
16,182.49226856926012
17,172.550318673984
18,199.45279724062544
19,183.6401034476347
20,188.47948250115454
21,179.23130180101285
22,192.91369884647284
23,186.05457022248
24,188.89024065586196
25,176.93535723211428
26,175.09566186457175
27,194.24150485286088
28,187.3010067278501
29,181.77269107745997
30,185.00571360937727
31,192.81676396606528
32,195.0982132329606
33,187.62406668908787
34,175.5652417500918
35,182.3805566801288
36,200.02590173109166
37,192.334097557318
38,174.9819244173123
39,194.1983454418613
40,198.44893498229953
41,180.45102851024376
42,175.82583354712597
43,203.99292067186755
44,196.61825201882596
45,197.40161940978163
46,183.941467854121
47,181.74951654753897
48,175.14642447612633
49,211.009059096815
50,204.24740777101417
51,199.41547215624868
52,190.49134990555277
53,184.29845559413243
54,196.57063278920464
55,195.28158955476835
56,183.358965523882
57,191.62856090835282
58,193.97742523027947
59,186.67708228291562
60,191.31842946057054
61,183.2942765631642
62,194.1352122485022
63,192.39401199092333
64,189.29612663122697
65,221.63887644822623
66,188.44745173228623
67,186.72707492033894
68,200.3161901296246
69,196.3693905940628
70,202.77626094845994
71,194.60176398282175
72,197.26914712630168
73,203.72556348933855
74,184.26119432593345
75,190.98521418538436
76,194.8648685873832
77,194.93961024685436
78,187.10014227602323
79,190.12223805720387
80,174.99439917281012
81,199.84128219624577
82,191.27535647195756
83,198.63022169792774
84,191.033302135644
85,204.97436070671057
86,197.7490438711728
87,195.20791494846503
88,201.5786617037501
89,191.46484666768575
90,209.37273622929985
91,204.70538636332367
92,200.98289674749125
93,196.49269474519136
94,205.45272924513182
95,215.78017057125635
96,203.2081829761616
