episode,reward
1,176.6182376901469
2,179.13406353335614
3,176.9757787481183
4,177.6676154713908
5,171.7848257242552
6,185.16125181870885
7,174.24527699745187
8,171.71518808030797
9,188.27218046654585
10,196.2516697113834
11,168.5359847565316
12,184.37094434641116
13,196.11813474777563
14,171.71916056480802
15,171.60573793966248
16,181.38238284891221
17,177.85986445148927
18,188.09506845379934
19,192.02060509946415
20,173.97859824721033
21,186.6567358798842
22,173.74149491949822
23,182.3879255210531
24,192.92453993832984
25,194.23786286274736
26,199.40317381065967
27,193.7382561239013
28,200.89792323735247
29,190.54729289139192
30,182.05979399524915
31,190.45566761055812
32,190.32484168146718
33,203.35556850136857
34,195.18479508315937
35,176.62150029524352
36,194.95359645478115
37,182.00175755968382
38,170.4222912344421
39,189.51260995650804
40,196.1888227728608
41,178.6345560205199
42,193.32962216183404
43,195.05687146606093
44,183.20804951023192
45,193.45071198190664
46,185.72382635302594
47,191.4153751224751
48,204.36889116366282
49,182.05967650869934
50,192.8948234736957
51,193.12285123700838
52,176.42824688991342
53,180.27060246870147
54,190.07239700567442
55,183.65498026887252
56,198.58755327084432
57,166.10550497231893
58,191.2243218748873
59,206.30076801347974
60,187.05385568479232
61,202.813917370916
62,181.35210466880048
63,192.48257255788803
64,195.26574263577413
65,205.93067458951688
66,194.38595353001625
67,201.81459457537784
68,186.72594524609647
69,185.50153011130737
70,206.6690336168636
71,192.0443108887765
72,202.90504131853206
73,201.58160056788603
74,187.19967126046546
75,186.33340270889838
76,191.10975943420735
77,194.1407855287764
78,175.26343375396792
79,201.6589616121677
80,183.27706448334263
81,196.37224017413533
82,198.58498890200545
83,195.97032070057278
84,198.54069925744443
85,206.203950819899
86,206.4648945487129
87,198.60623820233602
88,187.36259061694764
89,199.0981311576741
90,196.42547511769106
91,195.69982069949916
92,200.73005013750208
93,190.8338788432411
94,192.2502885078086
95,204.78180398852498
96,193.71427293593436
