episode,reward
1,163.68691378420002
2,188.1865057396699
3,169.15478835344584
4,155.78352678896576
5,184.8562720246158
6,177.25635572031157
7,175.09763989475408
8,187.19380887066677
9,191.14291844174295
10,179.04000405845576
11,178.3246242198503
12,189.60680825730924
13,182.36243496265124
14,187.95001232528645
15,184.52631767230176
16,175.10952498410808
17,192.75016087829886
18,188.13508650322913
19,183.95402128880087
20,191.34247032792
21,183.84014530284946
22,187.5787503634812
23,180.83729408236076
24,186.10517867076322
25,186.78100267418733
26,174.18091518678503
27,198.28953242489985
28,201.05715311031872
29,177.36463379773681
30,190.86137185321192
31,202.3041399190005
32,197.73810778985754
33,192.15111182672993
34,197.08311754383064
35,184.3388006643883
36,194.10847692871064
37,182.11848107393547
38,175.9078989002369
39,180.76451959682157
40,189.19822031439298
41,185.32319260184153
42,182.03346522055574
43,185.37928773654488
44,199.5069875950985
45,186.07696432652747
46,190.31334214068318
47,191.13873418684884
48,180.81016063646788
49,194.24005024473107
50,197.7602970034218
51,193.42093277994994
52,174.585912674983
53,190.54034317922677
54,184.72838284144655
55,185.91627909025368
56,183.59986766248008
57,198.30784561094862
58,198.36493438874808
59,179.89561979313237
60,192.33216121603942
61,198.8583920593439
62,179.09315215903806
63,186.55709370643777
64,182.27553360076806
65,185.24015254786346
66,192.44690216477252
67,197.17643514842047
68,188.63220164196488
69,190.34493196954384
70,196.7008186804623
71,174.95502723353238
72,206.9183525139849
73,183.53709675595806
74,197.21698474087108
75,179.63778123827805
76,186.55873312519898
77,190.5796200569249
78,179.44833282143605
79,205.12263957445077
80,189.4601862783573
81,194.0448997782185
82,187.3756734825417
83,193.30812178911427
84,186.3941882070666
85,198.5877066071911
86,179.6630259908796
87,180.16692014866
88,196.2778791394171
89,190.79580157963912
90,176.39384788031097
91,187.75626948301107
92,195.00296428924207
93,203.23541527761702
94,193.8080383026538
95,196.02535594363493
96,192.9380402623279
97,206.25510728340234
