episode,reward
1,175.73139328741254
2,178.06063113512056
3,163.7083407237288
4,179.48606333428978
5,174.70214169530757
6,176.86730412537827
7,181.6287980770461
8,186.33559956168693
9,184.94942543333119
10,185.27494263514131
11,166.8827429134598
12,190.5056683345214
13,185.06968886200957
14,185.4390857716397
15,189.74407432709714
16,194.6115096023972
17,194.90522061298014
18,190.3030950610089
19,193.97465824484405
20,185.0455413890319
21,185.45787177120715
22,172.5057792295216
23,183.59953660406413
24,191.4390510549791
25,184.22684612256774
26,187.81137484967138
27,190.53780916378753
28,196.60741368885377
29,191.80566000837447
30,173.21398331379305
31,208.21847643833493
32,199.25740524761122
33,179.70396754670747
34,193.6145256244554
35,180.1767686325965
36,178.50242391881875
37,180.95341947493228
38,187.16660392982055
39,185.04261906197166
40,197.83560380728616
41,192.14349673346857
42,198.05296859193956
43,195.16800386425905
44,195.50352262912892
45,194.95863221198076
46,188.2746503417731
47,202.0782789307713
48,182.49387182613236
49,197.12530566338012
50,188.5041841618176
51,205.06880924259178
52,205.37766995658205
53,198.3738375820966
54,200.37545533410326
55,200.4265287612397
56,209.08226801187675
57,202.48108336215768
58,208.6984890008884
59,193.6146349080387
60,185.34593326045896
61,174.99920085205872
62,193.29439780811586
63,187.92738872875375
64,201.3320272304585
65,194.45409187285108
66,197.74841601518864
67,197.23020718203824
68,201.82250623655224
69,180.35189397130998
70,195.78051798645197
71,201.0699246823626
72,173.74787792642064
73,202.44891187234396
74,188.55938003174887
75,207.11463352494238
76,198.77081043032007
77,190.5403923827798
78,194.16391320755957
79,205.05086825337347
80,189.12686537949938
81,198.6750049338623
82,211.39762519920356
83,203.5008437869256
84,194.49948182424043
85,218.25073538778767
86,197.22549164300116
87,191.17450522068827
88,200.0194280345264
89,180.91770479483256
90,184.432504611444
91,205.94008464656915
92,199.14160901804283
93,186.3617034861051
94,184.09085824884104
95,188.90941024392131
96,198.09582270424437
