episode,reward
1,166.95406761268677
2,174.3915100007953
3,163.98951394359108
4,169.10149658733792
5,188.88284571436483
6,182.49578631869463
7,168.40836376327545
8,176.95857353064022
9,173.6241012372359
10,190.22671549439661
11,175.51906115892342
12,183.90655869570364
13,188.27179900853992
14,184.00067085146205
15,185.34369126069075
16,177.2991869112838
17,184.19630739142806
18,175.97687580032056
19,167.4348567467032
20,176.3323873885777
21,174.93359390688235
22,187.76824268332666
23,163.5644942662192
24,172.63136087483645
25,177.21609276071055
26,168.3895923572585
27,177.8408003116829
28,185.12774154608968
29,189.4539188581172
30,174.87395103855286
31,182.83809804035096
32,176.72250518508457
33,188.38056433087883
34,171.11370866258352
35,188.89417449320848
36,189.67401674559528
37,181.65818290676995
38,183.0781546820305
39,180.8807043239143
40,177.2213043063455
41,201.40959997065144
42,178.40547049190212
43,178.4597257488527
44,175.1601193668461
45,192.18723163635872
46,184.2571970065678
47,171.56756179024555
48,185.33359459911097
49,184.55024978288182
50,189.1438256822358
51,184.69602645025378
52,182.50057001612058
53,196.51029796282768
54,185.71217002511506
55,184.63564979343755
56,183.14476316189794
57,177.08445239441784
58,183.45239415684702
59,187.4035163861174
60,176.8009613087821
61,195.1435033284372
62,180.70279258773908
63,183.62776602355137
64,192.7669031710174
65,189.75837608178736
66,190.79745347823822
67,195.04447828254064
68,195.58389183341288
69,188.01162241111808
70,195.86931856577425
71,182.1306704044651
72,204.34206249275314
73,175.49164899277736
74,196.16011873522973
75,184.61117069176015
76,187.39706173314622
77,187.0299931549511
78,192.7718933338785
79,186.65754970530998
80,178.5842437235239
81,193.3135956081258
82,178.08933444466643
83,194.84825256149756
84,178.970583987143
85,191.23355635486683
86,193.59442503522772
87,197.18516830124142
88,200.30391765842793
89,193.17306934467547
90,180.26230159343734
91,179.2174020089416
92,182.59308118200778
93,193.13216980785552
94,206.50271725038488
95,190.80806027983002
96,191.18317950140477
