episode,reward
1,182.9932929173431
2,187.8205468765699
3,172.75982652577642
4,178.19930142086363
5,161.22421426696016
6,179.6899702217957
7,177.46963988832488
8,165.20860838133734
9,176.10909025256666
10,156.62817438496683
11,173.94532282628245
12,180.10091417933984
13,174.77492405817011
14,177.19833749926136
15,178.3354316725973
16,190.21277772939968
17,198.3835494739598
18,178.30054116846824
19,171.28015473966155
20,195.64093613310186
21,187.78675459199692
22,177.49432915761648
23,174.91521330679942
24,178.84877139762568
25,202.22438175742565
26,174.7422891201015
27,185.1492592280187
28,181.21296948069883
29,188.41620272355195
30,170.40027198162485
31,193.24340659944465
32,168.67849124688024
33,180.9241035308318
34,181.27403656444824
35,192.38149054836566
36,170.27554471848777
37,177.43479349635587
38,189.7680446858199
39,186.02430524801642
40,181.59757721543664
41,190.73437657366946
42,171.36873943118442
43,181.50011172200857
44,192.8587204708699
45,172.4222152176311
46,169.43989913383624
47,197.5415296917811
48,171.97839916599622
49,181.46945218713654
50,189.7615232577262
51,191.4727091141833
52,184.51811809816635
53,175.38575714482187
54,183.51147523418584
55,185.4610348580487
56,174.6996182293166
57,179.88348856146945
58,201.2814639908306
59,186.483198123328
60,190.29412711084865
61,185.56812233907138
62,194.1556767255134
63,183.61650972041517
64,180.91638344022462
65,185.5630915253707
66,183.92710923299347
67,183.33367731990816
68,185.41570780314723
69,187.16894540416808
70,174.5624466887344
71,185.39300590744264
72,193.9342601555764
73,186.84976475945223
74,171.5905996947749
75,188.7418800730251
76,184.76761600561468
77,198.87076250845794
78,191.59843278117754
79,193.00055767753042
80,189.74981149168414
81,181.0107627417523
82,186.15074092286096
83,182.75617092911784
84,202.6686383354257
85,195.51681661775274
86,183.14518651483576
87,203.8468253510424
88,175.40239747553315
89,203.0658563187476
90,175.09012418932085
91,200.42497404007614
92,181.45387274220857
93,193.4183249949462
94,187.3663266178498
95,188.5731604975688
96,195.40620229538226
