episode,reward
1,179.57731342687103
2,191.099578246876
3,157.59707098330475
4,192.13050136620535
5,176.11144661641254
6,168.87829729333083
7,193.1443059572373
8,168.9524769674974
9,178.39850827719764
10,179.7939538700687
11,187.58108728277392
12,190.89712743352388
13,179.03579869387585
14,171.68982202481556
15,164.4264658381702
16,177.6793119285884
17,193.9720609475827
18,191.08808468685945
19,187.5817892115155
20,174.9688611277446
21,192.75512294024256
22,177.90054465518088
23,193.9736332678803
24,184.55097587857117
25,195.08755539713715
26,183.55294982978512
27,185.39354092033054
28,187.31288069470352
29,199.88353749805358
30,185.64521295194362
31,195.85968639115742
32,193.3340031819848
33,195.4427668903132
34,179.1299697463177
35,184.33471808802588
36,194.49405223931225
37,193.2158987723881
38,203.39346049919536
39,198.8219116735149
40,197.7415743122962
41,192.12779732146757
42,188.60503619957393
43,191.34783570561154
44,204.50194194447687
45,191.5887971493717
46,195.10089495017567
47,186.9944897070577
48,204.22264071856142
49,190.33991090903686
50,200.39309171549033
51,188.91394979716387
52,196.97929325437556
53,194.4043906206326
54,181.5473994483748
55,185.18693417076955
56,191.38181802765087
57,189.37441060743024
58,170.64330765230272
59,191.0832585398077
60,189.96395856773137
61,192.59263590101233
62,197.87759286210604
63,202.14563597722056
64,173.00930202648888
65,200.26190167403942
66,206.2989906176879
67,203.49603128320172
68,192.32771863219068
69,186.42223187336634
70,187.30269520191345
71,193.70382889547506
72,171.1942505799427
73,199.31214971860027
74,176.8228061953587
75,204.7732130914044
76,183.96025028817024
77,192.81337221533636
78,202.42496105784195
79,206.925049849414
80,184.53691183548085
81,195.93081285590958
82,189.31922840910656
83,194.6194916213417
84,203.13657405830926
85,194.40835987244122
86,199.95687500949825
87,203.1098294556661
88,197.35257716344924
89,191.38337396364628
90,203.10505363441558
91,195.60876109939423
92,211.24787380996284
93,192.19967191447887
94,191.88674947549796
95,196.0589955173526
96,190.4014863465751
97,193.16272910095992
