episode,reward
1,174.82102611851613
2,183.3299765449253
3,172.71045057988982
4,165.345030064739
5,173.65733658099452
6,175.12151514138915
7,156.45511443825433
8,180.94798733299803
9,193.66954693493835
10,174.44473710963612
11,185.74764828360725
12,185.69468992971343
13,181.22407292274625
14,172.7619109831454
15,178.4252563001951
16,186.75411429942415
17,176.159267079367
18,186.9055534669953
19,178.7010212392508
20,186.21314680163388
21,191.781349806684
22,170.38219159283142
23,176.93047953871707
24,183.3193945835533
25,199.05932815895883
26,181.42410242995263
27,179.91497978380113
28,182.63589261412432
29,181.84207148504373
30,199.43298112965073
31,192.54716208700654
32,172.20858456821918
33,179.66172437992248
34,194.55908468502872
35,185.53231224839064
36,194.8880817819909
37,174.91482987335394
38,191.34850354528382
39,172.89368086485518
40,182.32812918062845
41,190.51795410540979
42,177.07576996903666
43,180.88577202088942
44,185.2352083790827
45,202.51756476943225
46,180.274838667732
47,186.31321888533554
48,206.0041007746149
49,203.60867832231176
50,191.13844627598866
51,186.09791141909602
52,188.058100737108
53,194.85575559029778
54,190.91625503944599
55,191.02953139202538
56,180.634669559278
57,198.03803036586035
58,204.29436407921807
59,200.25986086310485
60,186.6673527937222
61,194.77683337512335
62,187.35176005485613
63,203.04205129897966
64,200.62154712369303
65,183.88587358099457
66,182.9836083671709
67,195.11045661435915
68,178.66877394804175
69,187.6639439669772
70,184.3090238905016
71,195.6712784040286
72,192.49465846684433
73,191.90562412922628
74,185.91585287355412
75,201.81873947576184
76,199.4983373333981
77,189.61349595475508
78,205.77306840895852
79,196.35133894537708
80,192.74261138947216
81,206.19479547571976
82,192.5357361334243
83,184.08753226818294
84,190.37087244851134
85,200.9260039415369
86,199.38426737035928
87,190.11477041012282
88,181.48763434216804
89,200.7120944257948
90,197.15424494251243
91,191.72228897948216
92,207.48845626377138
93,196.07314017134692
94,196.19424785011353
95,196.90805808411784
96,205.95192795028498
97,203.86553868749013
