episode,reward
1,185.9558789359197
2,176.27983642485117
3,166.11689269533608
4,174.74164562935354
5,173.20083835557944
6,175.57630061024886
7,189.20438942129465
8,180.20656460835292
9,186.76158451446332
10,187.67733157467106
11,188.37321785399152
12,183.57386358205252
13,192.93650233386893
14,186.07361890311478
15,193.25209442623688
16,198.7492104058365
17,163.63461328306525
18,177.9447145945654
19,191.03295452522184
20,173.69963858686907
21,196.42978694186257
22,184.5812600167319
23,185.5721816861158
24,174.81965380530787
25,183.6825806398258
26,196.56998266011954
27,175.95999698387695
28,194.44874914762633
29,182.62035232271896
30,177.76472502279108
31,174.57175618709545
32,193.9698782534094
33,193.11285604274732
34,192.1609748083949
35,186.15918706372537
36,179.10675775741737
37,186.8897745107178
38,205.3522564009842
39,189.38904386537186
40,174.68382816818962
41,203.6014842136176
42,166.80112431057094
43,188.736615881201
44,196.4095434006231
45,194.55774357871653
46,193.90832379271947
47,187.92820397092765
48,202.14418837656893
49,195.40796459216438
50,183.6725186413956
51,187.40805271754047
52,181.51242206949794
53,197.80405480407217
54,203.25804783093344
55,183.46098985062974
56,187.41418443906738
57,196.94241213204467
58,200.30775589953348
59,195.01455325812066
60,180.947496917553
61,193.9081607161597
62,194.63101302280953
63,187.70151300154538
64,182.1098043430931
65,198.28073925134294
66,187.4911015233399
67,215.4540508745638
68,218.1418359885841
69,177.52467973700328
70,197.10412949245392
71,190.79997456480027
72,198.51522024036018
73,181.81966733310463
74,192.23607588941988
75,208.16921057152337
76,202.67104599776624
77,196.4986845209684
78,198.2149110768075
79,179.14121361093476
80,206.07768469538075
81,195.90410837519704
82,203.7203474284844
83,204.6563535624205
84,209.10904445861345
85,201.90931266140387
86,192.44877056984302
87,197.68982298148273
88,191.3307665624115
89,197.58449221755177
90,199.04699324803514
91,208.45728680076567
92,196.74371790365336
93,207.5540654891551
94,192.5810371865574
95,193.88255987200435
96,207.01200589678362
