episode,reward
1,172.34472601166817
2,176.0711438464258
3,173.44267301051377
4,171.95549328103155
5,177.564765438212
6,178.4971186174053
7,171.45421848559963
8,186.2750915968051
9,176.5685688459305
10,198.09328156262927
11,172.13805707222224
12,176.81534916594433
13,183.7511479141106
14,189.86415720879074
15,194.7018169431147
16,174.8797727549626
17,189.97733644353735
18,197.85624754317428
19,192.67046413199202
20,202.3858184454694
21,185.5526147496016
22,197.97193505165075
23,187.25480962062522
24,202.79356921799427
25,194.72765206487432
26,191.92166855859878
27,175.91395725193678
28,188.77147445280534
29,190.6880081997075
30,193.28844522335723
31,186.68521802585272
32,199.76021581956311
33,180.20380227601265
34,184.38233782733803
35,194.79786450448938
36,201.7176524655749
37,190.04046980578315
38,186.9058954338523
39,158.4363442732598
40,194.68723902201518
41,200.5301249782412
42,191.81121508520158
43,194.20939954988708
44,195.15959551414903
45,201.882377606739
46,181.93775292278275
47,198.5097560870473
48,188.86463850170185
49,202.44853660565622
50,200.16048841578117
51,209.39174815346342
52,193.13453840884986
53,192.81114830820528
54,178.30008841108432
55,196.478077094976
56,201.38679086360764
57,201.34880427346155
58,200.11140641279314
59,190.65447709764695
60,199.5513899435537
61,195.07503870697343
62,188.83087963063116
63,204.0665845862418
64,192.83517768281092
65,202.48005612287778
66,196.76367170639395
67,192.52234235775907
68,196.89973401890245
69,198.30952032049106
70,204.5806502173617
71,193.31968030046409
72,186.0358389906682
73,197.29775354809095
74,186.02407719304662
75,178.6432497856944
76,213.00704590766674
77,218.40749951573372
78,204.25119665548752
79,215.53647681049145
80,198.37749686242373
81,191.32847395574873
82,197.17741296827023
83,206.57112100080064
84,187.64284955925615
85,206.36812960554823
86,193.42837586398346
87,203.3628427430977
88,194.65673569410615
89,179.77255725380653
90,213.9358543177875
91,198.25408679781748
92,203.2007590001363
93,203.38112364286377
94,207.36776020846816
95,190.38610311602204
96,204.51978225679076
