episode,reward
1,164.6859002217174
2,180.64701025209334
3,186.1263710588402
4,184.07033180537434
5,177.31989243780038
6,162.92404819670656
7,166.81512786071568
8,180.7874442005317
9,190.4120664325507
10,188.9998685342059
11,174.4167925049021
12,187.330074843247
13,189.39171176168566
14,191.94451840238708
15,183.71603055288566
16,188.27731966043794
17,203.6253703570028
18,194.71081994187213
19,179.39653715176556
20,191.4729168428197
21,181.89575875863406
22,180.97013179285855
23,184.39131905292825
24,186.5661260636665
25,172.31171271457035
26,194.1329769659462
27,178.70245405833265
28,184.94337354640038
29,184.51396203802105
30,182.13892509685047
31,188.77394433715523
32,182.69289820531017
33,170.06061810576233
34,188.09183907178817
35,178.91352622603628
36,179.09944069929458
37,205.0099427343054
38,179.8009074972649
39,192.28917354546724
40,184.7787718986787
41,192.11669606752463
42,168.8968568542596
43,186.8018107870915
44,189.41222000066685
45,195.0693118949161
46,185.65816079040601
47,183.1790902527858
48,183.64334471445957
49,204.37974737696575
50,175.0600839190093
51,170.28809349746723
52,202.2365250549227
53,194.4202024792715
54,191.74342631527117
55,202.0921209836387
56,198.57509278033297
57,182.4769305515863
58,184.63385722169045
59,176.23595858954403
60,194.96887324559935
61,195.43131112465238
62,192.1683308782421
63,192.44572150227813
64,204.56920959728743
65,176.29362475273072
66,188.3772340275449
67,189.8597251694435
68,197.5289173176677
69,182.71574628897804
70,191.41682993976863
71,185.8546975958633
72,191.1211274821821
73,190.05638259287431
74,199.09478269215296
75,201.03090020233316
76,202.66221543940932
77,190.330275918565
78,207.51843896375468
79,203.77512548908751
80,206.11185593965348
81,189.07971805929915
82,190.52533964053848
83,204.73654347878636
84,193.86064108884207
85,195.604765817337
86,187.4895558348448
87,184.6462449077698
88,208.66401650909796
89,207.1462585807957
90,200.34428448983195
91,196.98389725147513
92,196.44254956565626
93,202.59731589778522
94,197.90602188685526
95,205.74810815460762
96,199.0813226069592
