episode,reward
1,175.0030859854434
2,175.7971412521288
3,186.94444203264933
4,180.85553383312646
5,180.77028295010075
6,172.10632706268268
7,183.7707419986205
8,190.86380391677437
9,175.33283560997475
10,188.61264758025325
11,179.32868482150585
12,182.33507221847609
13,172.3331977063771
14,170.24264192120825
15,174.06083225487342
16,191.0404201518799
17,190.5779316239545
18,194.4402236865527
19,199.23885244332467
20,186.30027631503205
21,173.56886459683858
22,190.12411056735158
23,198.01737440944038
24,184.67320604124947
25,202.42551082431655
26,191.9035803274348
27,190.91646999237247
28,184.63111455316837
29,178.34577367509783
30,192.07311837712152
31,189.00809386596143
32,186.1471395967569
33,179.90995159904983
34,204.45718908944534
35,179.2486191707521
36,208.99258200025614
37,209.69335104227235
38,189.35416636142415
39,201.79412477807088
40,186.70770854846535
41,183.21058728703818
42,201.03971410289972
43,191.39902690677928
44,205.79096993654488
45,199.5988762524359
46,189.65162975039647
47,201.22361682532016
48,190.30101532885067
49,193.96710139449144
50,187.198502170986
51,194.90916030012164
52,184.15556069875768
53,198.85541511722232
54,191.38358106668505
55,186.52518592890877
56,182.97559116387822
57,193.90710422123755
58,178.54662184464473
59,186.85081257053386
60,201.94416311322118
61,198.49837830505854
62,183.84236046233963
63,190.32780959836012
64,206.43265274735853
65,199.20245263299708
66,185.82377897731664
67,199.70669183309855
68,178.21329359860002
69,188.68865212523843
70,196.79866650429676
71,201.47617204679563
72,187.4656632433797
73,196.08183308539506
74,196.25736099618612
75,186.712656553972
76,186.3482964615202
77,210.40084693396528
78,198.30476628760246
79,189.38191301334507
80,189.54579383374653
81,196.31043581912127
82,186.29151245697426
83,206.035642365892
84,189.63426072405838
85,199.7068600713662
86,207.59822616120454
87,196.9505529122499
88,204.7506637407552
89,216.92653203707127
90,175.7560806014886
91,207.8233500427959
92,200.20210800897027
93,198.76828530921355
94,199.90274692182663
95,196.10544890815797
96,197.93669055993539
97,190.1746394988989
