episode,reward
1,179.8384572992957
2,187.58447280631609
3,170.2973924194366
4,169.1518181421368
5,196.37738931939126
6,163.7245944905454
7,178.00386774533786
8,180.9924447244359
9,176.41458251660245
10,177.43881694760273
11,181.20677153794279
12,183.79991355327329
13,194.97185042807774
14,186.74545536397025
15,191.59250533368683
16,175.99465061948823
17,173.07603402666683
18,174.72269106001323
19,165.8982048258845
20,174.35543871802224
21,166.93826452229797
22,182.97413293588517
23,164.05960316904574
24,188.83136031085584
25,194.97529905107805
26,183.36356433396278
27,179.02463927064036
28,181.654356746942
29,175.5273857113171
30,172.54394614951303
31,173.5926947373337
32,171.8721803055684
33,191.19633050547893
34,187.33118706816035
35,185.72480393021485
36,201.78450869147125
37,189.36228557301138
38,178.28779258190642
39,204.01737027918804
40,159.72887758058621
41,183.67330898676855
42,189.98098378337048
43,179.9766792541996
44,185.24743780209826
45,189.19168014913402
46,185.85986637274064
47,193.08170448295738
48,185.42417858849097
49,178.6839498334377
50,176.6500922591051
51,174.44405369239792
52,193.01560296642856
53,182.9039748086974
54,190.57080635395857
55,183.33538256409747
56,200.44351688684176
57,184.26461932908614
58,196.7064264589685
59,196.99688371328443
60,186.5545362321313
61,189.9905545712645
62,182.69747060147918
63,188.104103021281
64,173.56052089056925
65,188.40239630508896
66,179.20480831328328
67,185.42159331155634
68,183.86304204281905
69,202.42958558105295
70,183.7994030738627
71,191.80267947692968
72,192.07693615737796
73,187.81628228321546
74,184.111855391245
75,192.41329903346372
76,175.82768685738787
77,186.94739861266913
78,182.18279428927104
79,172.56653175098032
80,197.45999121611823
81,201.23273442887705
82,184.8235020388146
83,191.9017349905499
84,189.24962594560606
85,180.42181392471886
86,196.2985991076668
87,210.2058487488055
88,202.35955624641247
89,189.6350541943883
90,202.35747449874344
91,194.4348565211052
92,166.404269394016
93,194.26944599553997
94,190.6804023809227
95,195.36252624081374
96,202.32894374121133
