episode,reward
1,170.61083015939573
2,187.27259546335003
3,177.71173591287894
4,167.16224992434647
5,180.80020308898906
6,167.40470109569418
7,177.54469034017563
8,166.08826273517138
9,175.92886486183858
10,189.08764852869348
11,173.86824407594918
12,172.68826041002478
13,189.8273900990391
14,182.23189261130804
15,171.53650542832096
16,188.1232746619032
17,187.90328753169905
18,181.74698118276575
19,176.30203463582075
20,183.05173599935173
21,198.42804209177646
22,193.20231918757472
23,182.2338242893257
24,185.1048399257777
25,187.32913965940938
26,169.38801778266435
27,193.3403455502379
28,191.40869262169147
29,184.65277159824095
30,180.3653738944676
31,205.64834922224344
32,184.87627938034666
33,188.7598230259154
34,184.65756228075384
35,194.82853206201494
36,186.50098316943033
37,190.93377122083797
38,187.1326507566167
39,195.6043744111913
40,174.41865898905075
41,176.56722910452552
42,174.77269495295943
43,180.96625358957166
44,193.48508403816695
45,178.1742025850634
46,175.07126993333432
47,192.667954343849
48,192.5270943180651
49,183.3645492413344
50,185.3595236522224
51,193.80492276745238
52,177.61101873130553
53,189.24614326923904
54,192.6145079972498
55,176.42326753787177
56,178.85561923945545
57,180.98689121802462
58,177.76895736968672
59,191.11026752875716
60,181.4691509832449
61,195.86897081449825
62,180.9651376434579
63,191.6049710495388
64,184.11545874708077
65,189.63405487750921
66,186.57666507035287
67,184.41625759441433
68,191.90900920884727
69,182.46323918983495
70,175.5060498829108
71,184.97977959090622
72,194.45338394265855
73,191.29188123338218
74,177.6033462813702
75,208.77447638855483
76,180.1440572772189
77,202.19061860389562
78,198.72767891094026
79,197.22300454240417
80,193.08924866253838
81,194.31641558981238
82,184.9001595643482
83,185.31027786345786
84,194.9666101213545
85,190.5534823587995
86,196.51539267816472
87,195.36866619958607
88,203.56418170255714
89,191.72310255371744
90,181.1594245424638
91,185.2324512138609
92,192.30810109725735
93,193.5626702724311
94,193.72193426926748
95,185.345740135914
96,187.82510580884065
97,190.1169009293302
