episode,reward
1,186.17311915726395
2,165.09978813647058
3,168.67818785899357
4,175.8809058492797
5,181.90123816057394
6,179.07866990352184
7,170.70282088311757
8,175.17639127707062
9,178.27912860048187
10,187.93854298884392
11,185.4079825364132
12,199.48545179503128
13,184.6071247097118
14,190.26089789676894
15,174.39615090743195
16,186.4574889884334
17,190.06869822894146
18,196.10924530687117
19,179.5856819524122
20,185.51052949554318
21,185.03188787610802
22,173.72449946277678
23,186.16367242969187
24,177.53997691981928
25,191.97025013369267
26,193.14563519844853
27,189.60931656718532
28,175.64219591524855
29,186.09116947902314
30,201.97528580831306
31,187.70249837187114
32,189.94897298523168
33,182.34306491619944
34,182.2286198150548
35,192.2236877435234
36,184.4728767290907
37,185.3381022293602
38,184.468672885418
39,202.60355716920648
40,206.5224812826617
41,186.88381000935973
42,197.58873605870147
43,200.01248018423752
44,190.5021453926765
45,180.06411777201728
46,188.93012906142766
47,185.35203605385237
48,191.36145337737224
49,182.61877069829745
50,177.39048898172405
51,203.87994377416922
52,188.31850487659995
53,192.00130247715916
54,203.6230525729042
55,185.69955007949255
56,189.13398186868596
57,192.78402314430363
58,192.05935393939063
59,184.2447031686186
60,181.61094594779067
61,197.1264870483284
62,193.2015806245564
63,192.0597003760693
64,180.4176117673123
65,194.17209778438044
66,193.1409563172136
67,190.41305483463174
68,184.93622053654482
69,182.92387562829913
70,191.39229861016454
71,191.30728530923548
72,194.56254442550704
73,191.89736476852622
74,201.04952362428835
75,182.44883712109942
76,206.15186575151697
77,198.9786868738031
78,206.62541494391044
79,196.29239662300762
80,185.18136827977273
81,186.2654434216538
82,206.35755524855355
83,193.7738772293285
84,203.11445240779528
85,206.54693493785612
86,192.30052426324315
87,205.35200331528273
88,186.6896412317258
89,192.79615521392162
90,190.41540424347005
91,189.81729533648635
92,189.36848958745853
93,187.89736512493727
94,185.877959341964
95,197.57762491622478
96,200.83059220107293
