episode,reward
1,194.50556204697247
2,169.58798122809335
3,168.8520250488411
4,172.92826807294364
5,184.8680859012284
6,181.46453914242196
7,180.4773845650623
8,175.20902418895645
9,177.8992719784067
10,181.0459346029223
11,167.74500007057938
12,157.9109675941355
13,180.70479657576084
14,174.95768467478564
15,189.30992557631134
16,193.53138568160605
17,174.50812678269963
18,173.63911204212963
19,177.75435556662939
20,187.69582082635006
21,178.12029061004935
22,171.67212573077083
23,180.64087466295777
24,167.22090839044958
25,187.40685264912247
26,186.8210881654553
27,187.8236194490962
28,178.13522057752562
29,165.01477708655142
30,180.7684769738213
31,179.72710508297118
32,178.95271977684584
33,181.93269026057868
34,185.4970599961758
35,193.43619331038988
36,191.88766044970396
37,164.61257215398507
38,184.45598297121396
39,198.65093986898793
40,184.20748881939917
41,173.0503704477385
42,187.24613906011393
43,186.42420001605515
44,189.33889547000877
45,201.94412433229198
46,193.78662863440334
47,195.84006296308638
48,191.43099095725734
49,202.2366336471802
50,188.6244451525666
51,192.65358583010178
52,186.6828383143052
53,205.16757232317522
54,199.1308469725409
55,198.27275782360257
56,196.3698800595756
57,172.00079868551396
58,206.2084505599231
59,185.12877090232263
60,162.2925175052461
61,206.6931934243477
62,170.48401173061728
63,187.4804525534407
64,199.8318991850731
65,173.192039961667
66,192.0060984784388
67,178.22293099856915
68,169.09874993834228
69,186.4657856548401
70,203.37970175151992
71,205.25218636271563
72,198.02202112290502
73,190.25882037436995
74,191.88794657101832
75,199.08205963024326
76,194.78118322170215
77,197.64345130151372
78,195.999831895599
79,177.10523164809862
80,188.72674517491907
81,186.26228505429745
82,184.26411687999783
83,178.68161744640983
84,189.02587058381894
85,187.79524597294198
86,169.3565833309019
87,182.47497969481168
88,184.75073122813876
89,187.56606238409938
90,192.86849473214033
91,189.45839599176202
92,204.24652409799063
93,181.5992569475876
94,186.94141886932255
95,193.98427582313292
96,189.85757700104224
97,190.99212175531207
