episode,reward
1,165.09750130260056
2,177.26350541336464
3,180.28879706273366
4,180.13510859506587
5,184.6536433062747
6,186.58061774644614
7,180.53707988628173
8,181.00785069860524
9,198.67328746295976
10,178.50303244447082
11,184.8082150245567
12,181.65284880593433
13,166.8016047113179
14,178.00469023749872
15,172.59271867024535
16,174.6916228951225
17,195.6440799689937
18,186.96516593802386
19,168.7958192343593
20,180.78996340965264
21,189.9257565757803
22,172.32450020334156
23,195.53357462077756
24,173.3684296800551
25,182.28697674209627
26,186.25854679838483
27,194.62161840825735
28,200.51789798622124
29,183.85504222346833
30,178.94706016808374
31,186.98868355308474
32,191.77274189562766
33,184.94950321648545
34,192.18288472320077
35,195.9358510168225
36,214.21793218298168
37,184.400710622694
38,187.7185931926819
39,196.28974466676988
40,180.22999227835345
41,211.34912765527017
42,184.22608307822392
43,195.03648815192307
44,190.97311955866158
45,206.3352024191178
46,188.7556781765512
47,197.49689293264714
48,198.65274451176347
49,204.65211476382615
50,192.69832270249813
51,181.39326576555365
52,190.74960544851197
53,187.2917540690313
54,189.3248591909714
55,189.8471507210479
56,200.7082749005538
57,204.8358633879909
58,188.89890658306916
59,196.30958487803676
60,199.74256564386653
61,212.638673545508
62,207.2773843449762
63,199.87546331522424
64,185.8475483978422
65,197.85833506900474
66,203.08885792288643
67,200.75603368716548
68,195.32693119737874
69,218.70546689874905
70,203.67385708719718
71,198.00242411500074
72,188.59369920539956
73,188.39477453812628
74,197.63741378759414
75,202.41982089406235
76,192.8806351508499
77,196.81341700099776
78,200.00720576215792
79,205.528305334312
80,190.22577634703487
81,195.22970979171248
82,194.3311498454945
83,193.63207920379045
84,193.31620323984055
85,217.169402403943
86,194.73994305452902
87,202.9449696414634
88,208.85392412215404
89,191.69615348437878
90,213.820476381259
91,205.96616709593374
92,186.6325334769327
93,194.82966967394023
94,219.2143351388599
95,196.96432947275244
96,183.56518908366985
